name,bus0,bus1,ckt,branch_name,bus0_name,bus1_name,x,r,b,s_nom,conductor,MOT,v_ang_min,v_ang_max,status,original_index
L18,3,6,2,FLOWER69 (3)  TO  HONOLULU69 (6) CKT 2,FLOWER69,HONOLULU69,1.7468109,0.7036758000000001,2.1844150388573827e-05,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,21
L19,3,16,1,FLOWER69 (3)  TO  PALM69 (16) CKT 1,FLOWER69,PALM69,3.02728185,1.1345463,0.0001058601134215501,76,336.4 ACSR 30/7 ORIOLE,95,0.0,0.0,1.0,22
L20,3,19,1,FLOWER69 (3)  TO  PEARL CITY69 (19) CKT 1,FLOWER69,PEARL CITY69,1.4868126899999998,0.6579702000000001,0.00011363159000210041,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,23
L21,3,19,2,FLOWER69 (3)  TO  PEARL CITY69 (19) CKT 2,FLOWER69,PEARL CITY69,1.4868126899999998,0.6579702000000001,0.00011363159000210041,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,24
L22,3,19,3,FLOWER69 (3)  TO  PEARL CITY69 (19) CKT 3,FLOWER69,PEARL CITY69,1.4868126899999998,0.6579702000000001,0.00011363159000210041,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,25
L23,3,21,1,FLOWER69 (3)  TO  AIEA69 (21) CKT 1,FLOWER69,,2.26185588,1.1535903,3.192606595253098e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,26
L24,4,13,1,WAVE69 (4)  TO  COCONUT69 (13) CKT 1,WAVE69,COCONUT69,1.83231846,0.5779854,3.570678428901491e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,27
L25,5,9,1,HONOLULU138 (5)  TO  TURTLE138 (9) CKT 1,HONOLULU138,TURTLE138,2.29632552,0.4361076,2.1476580550304555e-05,172,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,29
L26,5,14,1,HONOLULU138 (5)  TO  KAILUA138 (14) CKT 1,HONOLULU138,KAILUA138,7.3919286,1.0931256,3.6074354127284185e-05,172,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,30
L27,7,6,1,SURF69 (7)  TO  HONOLULU69 (6) CKT 1,SURF69,HONOLULU69,0.47609999999999997,0.19044,2.0163831127914304e-05,40,3/0 ACSR 6/1 PIGEON,85,0.0,0.0,1.0,31
L28,7,6,2,SURF69 (7)  TO  HONOLULU69 (6) CKT 2,SURF69,HONOLULU69,0.47609999999999997,0.19044,2.0163831127914304e-05,40,3/0 ACSR 6/1 PIGEON,85,0.0,0.0,1.0,32
L29,7,6,3,SURF69 (7)  TO  HONOLULU69 (6) CKT 3,SURF69,HONOLULU69,0.47609999999999997,0.19044,2.0163831127914304e-05,40,3/0 ACSR 6/1 PIGEON,85,0.0,0.0,1.0,33
L30,6,11,1,HONOLULU69 (6)  TO  MAHALO69 (11) CKT 1,HONOLULU69,MAHALO69,2.01842595,0.9426780000000001,2.0373871035496744e-05,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,34
L31,6,12,1,HONOLULU69 (6)  TO  LYCHEE69 (12) CKT 1,HONOLULU69,LYCHEE69,1.58022351,0.6494004,1.3862633900441084e-05,63,336.4 ACSR 30/7 ORIOLE,75,0.0,0.0,1.0,35
L32,6,12,2,HONOLULU69 (6)  TO  LYCHEE69 (12) CKT 2,HONOLULU69,LYCHEE69,1.58022351,0.6494004,1.3862633900441084e-05,63,336.4 ACSR 30/7 ORIOLE,75,0.0,0.0,1.0,36
L33,7,10,1,SURF69 (7)  TO  TURTLE69 (10) CKT 1,SURF69,TURTLE69,0.47609999999999997,0.19044,2.0163831127914304e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,37
L34,7,13,1,SURF69 (7)  TO  COCONUT69 (13) CKT 1,SURF69,COCONUT69,1.31908266,0.44801009999999997,2.0163831127914304e-05,40,3/0 ACSR 6/1 PIGEON,85,0.0,0.0,1.0,38
L35,7,13,2,SURF69 (7)  TO  COCONUT69 (13) CKT 2,SURF69,COCONUT69,1.31908266,0.44801009999999997,2.0163831127914304e-05,40,3/0 ACSR 6/1 PIGEON,85,0.0,0.0,1.0,39
L36,7,13,3,SURF69 (7)  TO  COCONUT69 (13) CKT 3,SURF69,COCONUT69,1.31908266,0.44801009999999997,2.0163831127914304e-05,40,3/0 ACSR 6/1 PIGEON,85,0.0,0.0,1.0,40
L37,8,15,1,KANEOHE69 (8)  TO  KAILUA69 (15) CKT 1,KANEOHE69,KAILUA69,3.6111232799999997,1.4944779,4.1377861793740815e-05,76,336.4 ACSR 30/7 ORIOLE,95,0.0,0.0,1.0,41
L38,8,19,1,KANEOHE69 (8)  TO  PEARL CITY69 (19) CKT 1,KANEOHE69,PEARL CITY69,4.8782634300000005,1.7610939,5.16698172652804e-05,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,42
L39,8,19,2,KANEOHE69 (8)  TO  PEARL CITY69 (19) CKT 2,KANEOHE69,PEARL CITY69,4.8782634300000005,1.7610939,5.16698172652804e-05,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,43
L40,9,14,1,TURTLE138 (9)  TO  KAILUA138 (14) CKT 1,TURTLE138,KAILUA138,7.20777312,1.7768052,5.340264650283555e-05,172,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,45
L41,11,13,1,MAHALO69 (11)  TO  COCONUT69 (13) CKT 1,TURTLE138,COCONUT69,2.27437731,0.8779284000000002,4.7048939298466705e-05,40,3/0 ACSR 6/1 PIGEON,85,0.0,0.0,1.0,46
L42,11,15,1,MAHALO69 (11)  TO  KAILUA69 (15) CKT 1,TURTLE138,KAILUA69,3.2956118100000005,1.1083608,3.192606595253098e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,47
L43,12,15,1,LYCHEE69 (12)  TO  KAILUA69 (15) CKT 1,LYCHEE69,KAILUA69,1.97410104,0.7193871000000001,8.695652173913043e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,48
L44,12,17,1,LYCHEE69 (12)  TO  WAIMANALO69 (17) CKT 1,LYCHEE69,WAIMANALO69,3.11088501,1.0845558000000002,5.923125393824827e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,49
L45,13,16,1,COCONUT69 (13)  TO  PALM69 (16) CKT 1,COCONUT69,PALM69,1.54956267,0.6232149,2.3104389834068473e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,50
L46,16,18,1,PALM69 (16)  TO  VOLCANO69 (18) CKT 1,PALM69,VOLCANO69,1.86764508,0.7393833000000001,4.011762234824617e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,53
L47,17,18,1,WAIMANALO69 (17)  TO  VOLCANO69 (18) CKT 1,WAIMANALO69,VOLCANO69,1.41658794,0.46848239999999997,3.0455786599453893e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,54
L48,19,23,1,PEARL CITY69 (19)  TO  WAIPAHU69 (23) CKT 1,PEARL CITY69,WAIPAHU69,1.44967689,0.5989338,2.793530770846461e-05,96,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,55
L49,19,23,2,PEARL CITY69 (19)  TO  WAIPAHU69 (23) CKT 2,PEARL CITY69,WAIPAHU69,1.44967689,0.5989338,2.793530770846461e-05,96,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,56
L50,19,23,3,PEARL CITY69 (19)  TO  WAIPAHU69 (23) CKT 3,PEARL CITY69,WAIPAHU69,1.44967689,0.5989338,2.793530770846461e-05,96,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,57
L51,19,23,4,PEARL CITY69 (19)  TO  WAIPAHU69 (23) CKT 4,PEARL CITY69,WAIPAHU69,1.44967689,0.5989338,2.793530770846461e-05,96,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,58
L52,20,23,1,MILILANI69 (20)  TO  WAIPAHU69 (23) CKT 1,MILILANI69,WAIPAHU69,3.5633228399999997,2.0310425999999997,3.7597143457256876e-05,86,556.5 ACSR 26/7 DOVE,75,0.0,0.0,1.0,59
L53,20,30,1,MILILANI69 (20)  TO  WAHIAWA69 (30) CKT 1,MILILANI69,WAHIAWA69,3.2606660700000005,1.3235579999999998,6.30119722747322e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,60
L54,20,32,1,MILILANI69 (20)  TO  HAUULA69 (32) CKT 1,MILILANI69,HAUULA69,1.90040076,0.7112934,7.036336904011763e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,61
L55,22,25,1,WAIPAHU138 (22)  TO  EWA BEACH138 (25) CKT 1,WAIPAHU138,EWA BEACH138,3.36678876,0.5675112,4.0695232094097877e-05,278,1272 ACSR 45/7 BITTERN,75,0.0,0.0,1.0,65
L56,22,37,1,WAIPAHU138 (22)  TO  KAHE138 (37) CKT 1,WAIPAHU138,KAHE138,7.77776004,1.2988008,5.7971014492753614e-05,295,1272 ACSR 45/7 BITTERN,80,0.0,0.0,1.0,66
L57,23,34,1,WAIPAHU69 (23)  TO  SCHOFIELD69 (34) CKT 1,WAIPAHU69,SCHOFIELD69,4.3667892,1.4349654,4.053770216341105e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,67
L58,23,34,2,WAIPAHU69 (23)  TO  SCHOFIELD69 (34) CKT 2,WAIPAHU69,SCHOFIELD69,4.3667892,1.4349654,4.053770216341105e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,68
L59,24,26,1,KAPOLEI69 (24)  TO  EWA BEACH69 (26) CKT 1,KAPOLEI69,EWA BEACH69,2.5461828,0.7831845,2.835538752362949e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,69
L60,24,26,2,KAPOLEI69 (24)  TO  EWA BEACH69 (26) CKT 2,KAPOLEI69,EWA BEACH69,2.5461828,0.7831845,2.835538752362949e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,70
L61,24,33,1,KAPOLEI69 (24)  TO  WAIANAE69 (33) CKT 1,KAPOLEI69,WAIANAE69,1.58022351,0.8046089999999999,0.00023146397815584964,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,71
L62,24,36,1,KAPOLEI69 (24)  TO  COGEN69 (36) CKT 1,KAPOLEI69,COGEN69,1.78780311,0.9012572999999999,4.074774207099349e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,72
L63,25,35,1,EWA BEACH138 (25)  TO  KALAELOA138 (35) CKT 1,EWA BEACH138,KALAELOA138 ,4.6505448000000005,0.7865172,3.596933417349297e-05,192,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,75
L64,25,35,2,EWA BEACH138 (25)  TO  KALAELOA138 (35) CKT 2,EWA BEACH138,KALAELOA138 ,4.6505448000000005,0.7865172,3.596933417349297e-05,192,556.5 ACSR 26/7 DOVE,85,0.0,0.0,1.0,76
L65,25,37,1,EWA BEACH138 (25)  TO  KAHE138 (37) CKT 1,EWA BEACH138,KAHE138,4.9790538,0.9312516000000001,4.095778197857593e-05,215,795 ACSR 26/7 DRAKE,85,0.0,0.0,1.0,77
L66,25,37,2,EWA BEACH138 (25)  TO  KAHE138 (37) CKT 2,EWA BEACH138,KAHE138,4.9790538,0.9312516000000001,4.095778197857593e-05,215,795 ACSR 26/7 DRAKE,85,0.0,0.0,1.0,78
L67,27,29,1,KAHUKU69 (27)  TO  LAIE69 (29) CKT 1,KAHUKU69,LAIE69,2.03923152,1.1369268,2.6885108170552404e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,79
L68,28,30,1,HALEIWA69 (28)  TO  WAHIAWA69 (30) CKT 1,HALEIWA69,WAHIAWA69,1.49476356,0.533232,9.094727998319679e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,80
L69,28,30,2,HALEIWA69 (28)  TO  WAHIAWA69 (30) CKT 2,HALEIWA69,WAHIAWA69,1.49476356,0.533232,9.094727998319679e-05,70,336.4 ACSR 30/7 ORIOLE,85,0.0,0.0,1.0,81
L70,28,31,1,HALEIWA69 (28)  TO  WAIALUA69 (31) CKT 1,HALEIWA69,WAIALUA69,4.98395763,2.4314427,0.00030140726738080235,63,336.4 ACSR 30/7 ORIOLE,75,0.0,0.0,1.0,82
L71,29,30,1,LAIE69 (29)  TO  WAHIAWA69 (30) CKT 1,LAIE69,WAHIAWA69,1.74519216,0.7041518999999999,3.948750262549884e-05,45,4/0 ACSR 6/1 PENGUIN,85,0.0,0.0,1.0,83
L72,29,32,1,LAIE69 (29)  TO  HAUULA69 (32) CKT 1,LAIE69,HAUULA69,2.9207306699999998,1.1021715,3.633690401176223e-05,63,336.4 ACSR 30/7 ORIOLE,75,0.0,0.0,1.0,84
L73,31,33,1,WAIALUA69 (31)  TO  WAIANAE69 (33) CKT 1,WAIALUA69,WAIANAE69,2.74290732,1.2835656,6.994328922495275e-05,40,3/0 ACSR 6/1 PIGEON,85,0.0,0.0,1.0,85
L74,33,34,1,WAIANAE69 (33)  TO  SCHOFIELD69 (34) CKT 1,WAIANAE69,SCHOFIELD69,3.99576447,1.6796807999999999,5.377021634110481e-05,76,336.4 ACSR 30/7 ORIOLE,95,0.0,0.0,1.0,86
L75,33,34,2,WAIANAE69 (33)  TO  SCHOFIELD69 (34) CKT 2,WAIANAE69,SCHOFIELD69,3.99576447,1.6796807999999999,5.377021634110481e-05,76,336.4 ACSR 30/7 ORIOLE,95,0.0,0.0,1.0,87
L76,35,37,1,KALAELOA138 (35)  TO  KAHE138 (37) CKT 1,KALAELOA138,KAHE138,1.59474456,0.2894688,4.248057130854862e-05,295,1272 ACSR 45/7 BITTERN,80,0.0,0.0,1.0,88
